"X1","X2"
"Albert Park Grand Prix Circuit",0.428571428571429
"Sepang International Circuit",0.4375
"Bahrain International Circuit",0.421052631578947
"Circuit de Barcelona-Catalunya",0.666666666666667
"Istanbul Park",0.555555555555556
"Circuit de Monaco",0.5
"Circuit Gilles Villeneuve",0.55
"Circuit de Nevers Magny-Cours",0.444444444444444
"Silverstone Circuit",0.423076923076923
"Hockenheimring",0.533333333333333
"Hungaroring",0.409090909090909
"Valencia Street Circuit",0.6
"Circuit de Spa-Francorchamps",0.476190476190476
"Autodromo Nazionale di Monza",0.545454545454545
"Marina Bay Street Circuit",0.615384615384615
"Fuji Speedway",0.5
"Shanghai International Circuit",0.5625
"Autódromo José Carlos Pace",0.52
"Indianapolis Motor Speedway",0.333333333333333
"Nürburgring",0.181818181818182
"Autodromo Enzo e Dino Ferrari",0.230769230769231
"Suzuka Circuit",0.6
"Yas Marina Circuit",0.642857142857143
"Autódromo Juan y Oscar Gálvez",0.5
"Circuito de Jerez",1
"Autódromo do Estoril",0.5
"Adelaide Street Circuit",1
"Autódromo Hermanos Rodríguez",0.428571428571429
"Circuit Paul Ricard",0.75
"Korean International Circuit",0.25
"Circuit Park Zandvoort",1
"Buddh International Circuit",1
"Circuit of the Americas",0.5
"Red Bull Ring",0.538461538461538
"Sochi Autodrom",0.25
"Baku City Circuit",0.333333333333333
"Autódromo Internacional do Algarve",0.5
"Autodromo Internazionale del Mugello",1
"Jeddah Corniche Circuit",0.5
"Losail International Circuit",1
